date,newspaper,city,performer,text
1887-11-12,The New York Times,New York,Alice Shaw,"Mrs. Alice Shaw, the society siffleuse, opened her American season with a whistling recital before a fashionable audience."
1888-02-20,Boston Globe,Boston,Alice Shaw,"Alice Shaw whistled selections from the opera at Music Hall; her pure tone drew repeated encores."
1888-10-05,Philadelphia Inquirer,Philadelphia,Alice Shaw,"The celebrated whistler Mrs. Shaw appeared at the Academy of Music, her artistic whistling much admired."
1889-04-18,Chicago Tribune,Chicago,Alice Shaw,"Alice Shaw, whistling soloist, charmed a large house with imitations of birds and popular airs."
1890-06-22,San Francisco Chronicle,San Francisco,Alice Shaw,"Mrs. Shaw closed her tour on the coast, her whistling pronounced the finest ever heard in the city."
1909-03-14,Los Angeles Times,Los Angeles,Agnes Woodward,"Agnes Woodward opened her school of artistic whistling, training young women in the warbling art."
1910-05-09,San Francisco Chronicle,San Francisco,Agnes Woodward,"Miss Woodward gave a whistling demonstration, her pupils performing bird calls and melodies."
1911-08-30,The Sacramento Bee,Sacramento,Agnes Woodward,"A recital of artistic whistling by Agnes Woodward delighted the fair crowds."
1912-10-12,Chicago Tribune,Chicago,Agnes Woodward,"The California whistler Agnes Woodward lectured on whistling as a serious musical art."
1915-01-25,The New York Times,New York,Agnes Woodward,"Agnes Woodward brought her whistling method east, performing to a curious metropolitan audience."
1916-04-03,San Francisco Chronicle,San Francisco,Margaret McKee,"Margaret McKee, whistling soprano, astonished listeners with her range and trills."
1918-07-19,The Denver Post,Denver,Margaret McKee,"The whistling artist Margaret McKee appeared at the Orpheum, her warbling encored thrice."
1919-09-08,The Kansas City Star,Kansas City,Margaret McKee,"Margaret McKee whistled popular songs and bird imitations to a packed vaudeville house."
1920-03-16,St. Louis Post-Dispatch,St. Louis,Margaret McKee,"McKee's whistling recital was the talk of the season; critics praised her flute-like tone."
1921-11-02,The Cincinnati Enquirer,Cincinnati,Margaret McKee,"The famous whistler Margaret McKee gave a benefit concert of whistled airs."
1922-05-21,The New York Times,New York,Margaret McKee,"Margaret McKee concluded her tour with a whistling program at a Broadway theatre."
1930-02-11,The Times-Picayune,New Orleans,Bob MacGimsey,"Bob MacGimsey, a whistler of unusual skill, performed his three-note whistling before a delighted crowd."
1931-06-27,The Commercial Appeal,Memphis,Bob MacGimsey,"MacGimsey whistled spirituals and folk airs, his technique drawing wide notice."
1932-09-14,The Tennessean,Nashville,Bob MacGimsey,"The whistling composer Bob MacGimsey demonstrated his bird-like warbling on stage."
1933-04-30,The Courier-Journal,Louisville,Bob MacGimsey,"Bob MacGimsey's whistling performance mixed melody and imitation to great effect."
1934-08-19,The Cincinnati Enquirer,Cincinnati,Bob MacGimsey,"A whistling recital by MacGimsey closed the summer series at the hall."
1936-12-05,The New York Times,New York,Bob MacGimsey,"MacGimsey brought his whistling act to New York, where audiences marveled at his control."
1931-05-03,Dallas Morning News,Dallas,Fred Lowery,"Fred Lowery, the blind whistler, performed popular tunes with remarkable accuracy."
1933-07-22,The Times-Picayune,New Orleans,Fred Lowery,"Fred Lowery whistled with a dance orchestra, his clear tone soaring above the band."
1935-10-16,Chicago Tribune,Chicago,Fred Lowery,"The whistling virtuoso Fred Lowery appeared on the radio hour to wide acclaim."
1938-03-28,The New York Times,New York,Fred Lowery,"Fred Lowery's whistling of the Indian Love Call became a sensation in the city."
1940-09-09,Los Angeles Times,Los Angeles,Fred Lowery,"Fred Lowery whistled for the pictures, his artistry sought by Hollywood studios."
1895-08-14,Pittsburgh Post-Gazette,Pittsburgh,,"A locomotive whistled in the yards; the long steam whistle echoed through the smoky valley."
1903-06-01,The Atlanta Constitution,Atlanta,,"At dawn the mockingbird's whistling filled the garden, answered by a distant thrush."
